,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111
LITTLE ABNER,PRINCESS ZANDA,BLACK PANTHER/T'CHAL,CARNIVORE/COUNT ANDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PRINCESS ZANDA,BLACK PANTHER/T'CHAL,LITTLE ABNER,CARNIVORE/COUNT ANDR,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BLACK PANTHER/T'CHAL,PRINCESS ZANDA,LITTLE ABNER,CARNIVORE/COUNT ANDR,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,GALACTUS/GALAN,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,WOLVERINE/LOGAN ,SHE-HULK/JENNIFER WA,SILVER SURFER/NORRIN,VISION ,PSYLOCKE/ELISABETH B,MARVEL GIRL/JEAN GRE,STORM/ORORO MUNROE S,ETERNITY/ADAM QADMON,KISMET/J'RIDIA STARD,NIGHT THRASHER/DUANE,IN-BETWEENER,MR. FANTASTIC/REED R,ANGEL/WARREN KENNETH,DEATH,MASTER ORDER,IRON MAN/TONY STARK ,HERCULES [GREEK GOD],JARVIS EDWIN ,LOCKHEED,KNIGHT ERRANT/MATSON,ICON/DR. U'MBAYA A'K,NIGHTCRAWLER/KURT WA,THOMAS COMMANDER DA,MEGGAN,IRON MAN IV/JAMES R.,WASP/JANET VAN DYNE ,STINGER II/,SCARLET WITCH/WANDA ,THOR/DR. DONALD BLAK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STEELE SIMON/WOLFGA,FORTUNE DOMINIC,ERWIN CLYTEMNESTRA,IRON MAN/TONY STARK ,IRON MAN IV/JAMES R.,RAVEN SABBATH II/EL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FORTUNE DOMINIC,STEELE SIMON/WOLFGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ERWIN CLYTEMNESTRA,FORTUNE DOMINIC,IRON MAN IV/JAMES R.,STEELE SIMON/WOLFGA,IRON MAN/TONY STARK ,RAVEN SABBATH II/EL,AQUARIUS II/,ERWIN MORLEY,VIBRO/DR. FRANCIS VI,BROTHERS GRIMM II/BA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRON MAN/TONY STARK ,FORTUNE DOMINIC,ERWIN CLYTEMNESTRA,WASP/JANET VAN DYNE ,GALACTUS/GALAN,MOCKINGBIRD/DR. BARB,SILVER SURFER/NORRIN,HAWK,LORD CHAOS,SCARLET WITCH/WANDA ,CAPTAIN AMERICA,THUNDERSTRIKE/ERIC K,NOVA/RICHARD RIDER,WONDER MAN/SIMON WIL,DEATHLOK III/MICHAEL,OBLIVION,WOLVERINE/LOGAN ,SHE-HULK/JENNIFER WA,VISION ,PSYLOCKE/ELISABETH B,MARVEL GIRL/JEAN GRE,STORM/ORORO MUNROE S,ETERNITY/ADAM QADMON,KISMET/J'RIDIA STARD,NIGHT THRASHER/DUANE,IN-BETWEENER,MR. FANTASTIC/REED R,ANGEL/WARREN KENNETH,DEATH,MASTER ORDER,IRON MAN IV/JAMES R.,CABE BETHANY,HOGAN VIRGINIA PEPP,STEELE SIMON/WOLFGA,CHAIN,SPIDER-WOMAN II/JULI,CARPENTER RACHEL,THOR/DR. DONALD BLAK,SOUTHERN CANDY,JARVIS EDWIN ,TIGRA/GREER NELSON,EGGHEAD/PROF. ELIHAS,STARR TRIXIE TRISH,THING/BENJAMIN J. GR,INVISIBLE WOMAN/SUE ,HUMAN TORCH/JOHNNY S,HERCULES [GREEK GOD],BLACK PANTHER/T'CHAL,BEAST/HENRY &HANK& P,ANT-MAN/DR. HENRY J.,RADIOACTIVE MAN/DR. ,MANDARIN,TAURUS/CORNELIUS VAN,ERWIN MORLEY,VOLLA,CASE COL. PRESTON,PERRIKUS,BRADLEY HANK,COLLINS DEMITRIUS,KINCAID DR. JANE FO,HELA [ASGARDIAN],DESTROYER III,VIRGO/ELAINE MCLAUGH,AQUARIUS II/,ARIES II/GROVER RAYM,SCORPIO II,PISCES/NOAH PERRICON,GEMINI/JOSHUA LINK,VIBRO/DR. FRANCIS VI,MORLEY,BROTHERS GRIMM II/BA,MAJESTON ZELIA,SPIDER-MAN/PETER PAR,ADVA,DIAMOND CHUCKY,KINCAID DR. KEITH,FAIRMONT HANNAH,KLINE MR.,CRANDAL BEN,GUARDSMAN/KEVIN O'BR,RODGERS MARIANNE,DEMITRIUS,WHITE DRAGON,FURY COL. NICHOLAS ,NIGHT PHANTOM II,FIREBRAND/GARY GILBE,CYCLOPS/SCOTT SUMMER,HOGAN HAROLD J. HAP,THOMPSON EUGENE FLA,SUB-MARINER/NAMOR MA,GREEN GOBLIN/NORMAN ,PARKER MAY,ICEMAN/ROBERT BOBBY ,DR. STRANGE/STEPHEN ,WONG,HULK/DR. ROBERT BRUC,JAMESON J. JONAH,WATSON ANNA,KRAVEN THE HUNTER/SE,SANDMAN/WILLIAM BAKE,OSBORN LIZ ALLAN,DR. OCTOPUS/OTTO OCT,DAREDEVIL/MATT MURDO,LEEDS NED,LEEDS BETTY BRANT,VULTURE/ADRIAN TOOME,BROMWELL DR.,TERRAX II/TYROS,,,,,
IRON MAN IV/JAMES R.,FORTUNE DOMINIC,ERWIN CLYTEMNESTRA,IRON MAN/TONY STARK ,ZIMMER ABE,HOGAN VIRGINIA PEPP,STEELE SIMON/WOLFGA,RAVEN SABBATH II/EL,CHAIN,SPIDER-WOMAN II/JULI,CARPENTER RACHEL,RADIOACTIVE MAN/DR. ,TAURUS/CORNELIUS VAN,VIBRO/DR. FRANCIS VI,MORLEY,ERWIN MORLEY,STANE OBADIAH,BROTHERS GRIMM II/BA,RHODES MR.,LOCOMOTIVE BREATH/LA,GUNSHIP/CARY ROUNTRE,JOSEPH SHEVA,LOCKHEED,KNIGHT ERRANT/MATSON,ICON/DR. U'MBAYA A'K,NIGHTCRAWLER/KURT WA,THOMAS COMMANDER DA,MEGGAN,CAPTAIN AMERICA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
RAVEN SABBATH II/EL,FORTUNE DOMINIC,ERWIN CLYTEMNESTRA,IRON MAN/TONY STARK ,IRON MAN IV/JAMES R.,STEELE SIMON/WOLFGA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CARNIVORE/COUNT ANDR,PRINCESS ZANDA,LITTLE ABNER,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GHOST,IRON MAN/TONY STARK ,ZIMMER ABE,IRON MAN IV/JAMES R.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ZIMMER ABE,IRON MAN/TONY STARK ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FU MANCHU,TARR BLACK JACK,SMITH SIR DENIS NAY,SHANG-CHI,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
TARR BLACK JACK,FU MANCHU,SMITH SIR DENIS NAY,DOCTOR DREDD,SHANG-CHI,STARSHINE II/BRANDY ,RESTON CLIVE,WU LEIKO,ROM SPACEKNIGHT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SMITH SIR DENIS NAY,TARR BLACK JACK,FU MANCHU,MAN-THING/THEODORE T,DOCTOR DREDD,STARSHINE II/BRANDY ,SHANG-CHI,ROM SPACEKNIGHT,RESTON CLIVE,WU LEIKO,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SHANG-CHI,TARR BLACK JACK,SMITH SIR DENIS NAY,FU MANCHU,MAN-THING/THEODORE T,DOCTOR DREDD,STARSHINE II/BRANDY ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
STARSHINE II/BRANDY ,ROM SPACEKNIGHT,DOCTOR DREDD,TARR BLACK JACK,SHANG-CHI,TORPEDO III/BROCK JO,KILLBURN MACK,JONES LORRAINE LORR,JONES DANIEL DANNY,JONES TAMMY ANNE,JONES NELL,JACKSON STEVE,CLARK JOHN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ROM SPACEKNIGHT,DOCTOR DREDD,TARR BLACK JACK,STARSHINE II/BRANDY ,SHANG-CHI,RESTON CLIVE,WU LEIKO,BLOB/FRED J. DUKES,TORPEDO III/BROCK JO,PYRO/ALLERDYCE JOHNN,AVALANCHE/DOMINIC PE,ROGUE /,DESTINY II/IRENE ADL,KILLBURN MACK,JONES TAMMY ANNE,JACKSON STEVE,JONES LORRAINE LORR,JONES NELL,SUB-MARINER/NAMOR MA,VASHTI,SEAWEED MAN,CLARK JOHN,CLARK SARAH,JONES DANIEL DANNY,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MAN-THING/THEODORE T,FU MANCHU,TARR BLACK JACK,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
